Band,Album,Song
Pink Floyd,Dark Side of the Moon,Speak To Me/Breathe
Pink Floyd,Dark Side of the Moon,On The Run
Pink Floyd,Dark Side of the Moon,Time
Pink Floyd,Dark Side of the Moon,The Great Gig in the Sky
Pink Floyd,Dark Side of the Moon,Money
Pink Floyd,Dark Side of the Moon,Us And Them
Pink Floyd,Dark Side of the Moon,Any Colour You Like
Pink Floyd,Dark Side of the Moon,Brain Damage
Pink Floyd,Dark Side of the Moon,Eclipse
Pink Floyd,Wish You Were Here,Shine On You Crazy Diamon (Parts I-V)
Pink Floyd,Wish You Were Here,Welcome to the Machine
Pink Floyd,Wish You Were Here,Have A Cigar
Pink Floyd,Wish You Were Here,Wish You Were Here
Pink Floyd,Wish You Were Here,Shine on You Crazy Diamon (Parts VI-IX)
Queen,The Platinum Collection,Bohemian Rhapsody
Queen,The Platinum Collection,Another One Bites the Dust
Queen,The Platinum Collection,Killer Queen
Queen,The Platinum Collection,Fat Bottomed Girls
Queen,The Platinum Collection,Bicycle Race
Queen,The Platinum Collection,You're My Best Friend
Queen,The Platinum Collection,Don't Stop Me Now
Queen,The Platinum Collection,Save Me
Queen,The Platinum Collection,Crazy Little Thing Called Love
Queen,The Platinum Collection,Somebody To Love
Queen,The Platinum Collection,Now I'm Here
Queen,The Platinum Collection,Good Old-Fashioned Lover Boy
Queen,The Platinum Collection,Play the Game
Queen,The Platinum Collection,Flash
Queen,The Platinum Collection,Seven Seas of Rhye
Queen,The Platinum Collection,We Will Rock You
Queen,The Platinum Collection,We Are the Champions
Radiohead,In Rainbows,15 Steps
Radiohead,In Rainbows,Bodysnatchers
Radiohead,In Rainbows,Nude
Radiohead,In Rainbows,Weird Fieshes/Arpeggi
Radiohead,In Rainbows,All I Need
Radiohead,In Rainbows,Faust Arp
Radiohead,In Rainbows,Reckoner
Radiohead,In Rainbows,House of Cards
Radiohead,In Rainbows,Jigsaw Falling Into Place
Radiohead,In Rainbows,Videotape
Radiohead,OK Computer,Airbag
Radiohead,OK Computer,Paranoid Android
Radiohead,OK Computer,Subterranean Homesick Alien
Radiohead,OK Computer,Exit Music (For A Film)
Radiohead,OK Computer,Let Down
Radiohead,OK Computer,Karma Police
Radiohead,OK Computer,Fitter Happier
Radiohead,OK Computer,Electioneering
Radiohead,OK Computer,Climbing Up The Walls
Radiohead,OK Computer,No Surprises
Radiohead,OK Computer,Lucky
Radiohead,OK Computer,The Tourist
